OBJECTID,GRIDCODE,Shape_Length,Shape_Area,SUBBASIN,LU_NUM,LU_CODE,SOIL_NUM,SOIL_CODE,SLOPE_NUM,SLOPE_CODE,MEAN_SLOPE,AREA,UNIQUECOMB,HRUGIS
152,152,19974.863822482526000,214615.797396757440000,2,52,RNGB,9782,WA243,4,66-96,77.870910644531250,21.461579751177361,2_RNGB_WA243_66-96,000020059
153,153,46591.116377832368000,867459.061334154690000,4,42,FRSE,9768,WA229,1,0-23,16.676219940185547,86.745906179908502,4_FRSE_WA229_0-23,000040031
154,154,104791.988632184920000,1155969.519511917600000,4,52,RNGB,9768,WA229,3,45-66,56.133087158203125,115.596952013078070,4_RNGB_WA229_45-66,000040050
155,155,15412.077670143917000,179917.434943431380000,4,52,RNGB,9768,WA229,1,0-23,15.419819831848145,17.991743503981024,4_RNGB_WA229_0-23,000040052
156,156,7553.945963327307300,66826.475836180733000,2,52,RNGB,9782,WA243,1,0-23,16.694301605224609,6.682647587192950,2_RNGB_WA243_0-23,000020060
157,157,2940.462187065742900,25702.490706201112000,2,52,RNGB,9782,WA243,999,96-9999,109.815101623535160,2.570249071997289,2_RNGB_WA243_96-9999,000020062
158,158,11001.384389537852000,120801.706319101550000,4,81,HAY,9768,WA229,4,66-96,76.754798889160156,12.080170638387257,4_HAY_WA229_66-96,000040078
159,159,2129.300204428844200,20561.992564975051000,2,71,RNGE,9782,WA243,999,96-9999,107.529289245605470,2.056199257597831,2_RNGE_WA243_96-9999,000020080
160,160,8213.015074221883000,75822.347583400100000,4,81,HAY,9768,WA229,3,45-66,57.290321350097656,7.582234762392002,4_HAY_WA229_45-66,000040079
161,161,151535.197881745170000,3308553.116156269300000,4,42,FRSE,9768,WA229,2,23-45,34.836666107177734,330.855311792851010,4_FRSE_WA229_23-45,000040034
162,162,8922.781809030100700,76464.909851016462000,2,71,RNGE,9782,WA243,2,23-45,36.336914062500000,7.646490989191935,2_RNGE_WA243_23-45,000020083
163,163,4866.971895833499700,86103.343865728268000,2,31,SWRN,9864,WA325,1,0-23,3.799917459487915,8.610334391190916,2_SWRN_WA325_0-23,000020027
164,164,811.161982638295740,8995.871747154453300,1,42,FRSE,9864,WA325,999,96-9999,107.556030273437500,0.899587175199051,1_FRSE_WA325_96-9999,000010021
165,165,5880.924374132417100,49477.294609452780000,4,71,RNGE,9768,WA229,999,96-9999,102.989227294921870,4.947729463594781,4_RNGE_WA229_96-9999,000040066
166,166,117162.208867421840000,1730420.186795148300000,4,42,FRSE,9768,WA229,4,66-96,76.311950683593750,173.042018772217460,4_FRSE_WA229_66-96,000040033
167,167,8618.596065538004000,73252.098512698547000,4,52,RNGB,9768,WA229,999,96-9999,103.878517150878910,7.325209855192273,4_RNGB_WA229_96-9999,000040051
168,168,456.278615234419700,3855.373605928396000,1,21,URLD,9864,WA325,3,45-66,51.000637054443359,0.385537360799593,1_URLD_WA325_45-66,000010005
169,169,11863.243996094912000,120801.706319142860000,4,42,FRSE,9768,WA229,999,96-9999,105.224731445312500,12.080170638387257,4_FRSE_WA229_96-9999,000040032
170,170,608.371486978605390,5140.498141226056800,1,21,URLD,9864,WA325,2,23-45,34.219409942626953,0.514049814399458,1_URLD_WA325_23-45,000010004
171,171,1267.440597875043700,8995.871747195766100,4,81,HAY,9768,WA229,2,23-45,39.631553649902344,0.899587175199051,4_HAY_WA229_23-45,000040080
172,172,608.371486977674070,3855.373605910690000,4,81,HAY,9768,WA229,999,96-9999,104.460372924804690,0.385537360799593,4_HAY_WA229_96-9999,000040077
173,173,456.278615233954040,3855.373605928395600,1,21,URLD,9864,WA325,1,0-23,5.377989292144775,0.385537360799593,1_URLD_WA325_0-23,000010003
174,174,2839.066939235664900,29557.864312147212000,2,71,RNGE,9782,WA243,1,0-23,9.159781455993652,2.955786432796882,2_RNGE_WA243_0-23,000020079
175,175,861.859606553334740,7710.747211844987800,4,43,FRST,9768,WA229,4,66-96,78.525444030761719,0.771074721599187,4_FRST_WA229_66-96,000040047
176,176,1115.347726128529800,14778.932156061803000,4,43,FRST,9768,WA229,2,23-45,37.299919128417969,1.477893216398441,4_FRST_WA229_23-45,000040046
177,177,140685.906363924030000,3404294.894035694200000,4,42,FRSE,9864,WA325,2,23-45,32.426898956298828,340.429489586040920,4_FRSE_WA325_23-45,000040044
178,178,1571.626341362949500,11566.120817791088000,4,43,FRST,9768,WA229,3,45-66,52.692619323730469,1.156612082398780,4_FRST_WA229_45-66,000040045
179,179,69303.651891711634000,1058942.617095412700000,4,42,FRSE,9864,WA325,3,45-66,52.638244628906250,105.894261766288300,4_FRSE_WA325_45-66,000040043
180,180,15919.053909286391000,195981.491634820360000,4,42,FRSE,9864,WA325,4,66-96,75.010307312011719,19.598149173979330,4_FRSE_WA325_66-96,000040042
181,181,912.557230469770730,13493.807620787749000,1,22,URMD,9864,WA325,1,0-23,6.090271949768066,1.349380762798577,1_URMD_WA325_0-23,000010006
182,182,123955.690472002140000,5352543.689566532100000,4,42,FRSE,9864,WA325,1,0-23,11.743482589721680,535.254369243435460,4_FRSE_WA325_0-23,000040041
183,183,18606.027976776473000,260880.280667992600000,4,22,URMD,9864,WA325,1,0-23,10.453962326049805,26.088028080772482,4_URMD_WA325_0-23,000040010
184,184,19924.166198570747000,233250.103158871590000,4,21,URLD,9864,WA325,1,0-23,12.847333908081055,23.325010328375395,4_URLD_WA325_0-23,000040006
185,185,253.488119574263690,2570.249070607126700,1,41,FRSD,9864,WA325,1,0-23,2.419625043869019,0.257024907199729,1_FRSD_WA325_0-23,000010014
186,186,709.766734808217730,6425.622676541424900,2,31,SWRN,9782,WA243,2,23-45,36.539966583251953,0.642562267999322,2_SWRN_WA243_23-45,000020014
187,187,1013.952478296123400,7068.184944175500300,4,21,URLD,9768,WA229,3,45-66,49.608650207519531,0.706818494799255,4_URLD_WA229_45-66,000040001
